code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
110001	Alta Floresta D'Oeste	22728	3248	3319	3769	3577	3106	2903	1698	791	317
110037	Alto Alegre dos Parecis	13255	2185	2111	2299	1877	1939	1464	826	421	133
110040	Alto Paraíso	21847	3668	3472	3751	3275	3210	2316	1317	633	205
110034	Alvorada D'Oeste	14106	2036	2020	2260	2116	2048	1743	1169	502	212
110002	Ariquemes	109523	16499	18208	19852	18540	14786	11308	6452	2822	1056
110045	Buritis	40356	6984	6822	6994	6378	5338	3653	2531	1277	379
110003	Cabixi	5188	774	653	763	772	791	712	458	188	77
110060	Cacaulândia	6269	1039	964	1011	926	847	681	468	243	90
110004	Cacoal	85893	11795	12773	14558	14501	12221	9866	6194	2788	1197
110070	Campo Novo de Rondônia	14266	2562	2298	2403	2228	2062	1427	845	339	102
110080	Candeias do Jamari	27388	5118	4586	4806	4389	3634	2501	1465	681	208
110090	Castanheiras	2987	388	372	495	429	472	420	235	133	43
110005	Cerejeiras	16204	2194	2251	2688	2638	2249	2133	1195	614	242
110092	Chupinguaia	11472	2094	1969	2186	1842	1603	1037	472	212	57
110006	Colorado do Oeste	15544	2085	2043	2373	2518	2257	1974	1338	665	291
110007	Corumbiara	7220	993	944	1278	1173	1140	851	487	253	101
110008	Costa Marques	18798	3773	3323	3571	2903	2381	1545	840	345	117
110094	Cujubim	26183	5103	4848	4807	4242	3401	2212	1086	387	97
110009	Espigão D'Oeste	32695	5066	5090	5441	5332	4680	3497	2213	1003	373
110100	Governador Jorge Teixeira	7445	1100	1038	1198	1141	1099	901	562	296	110
110010	Guajará-Mirim	46556	8562	8388	8050	6983	5919	4434	2470	1223	527
110110	Itapuã do Oeste	10641	2005	1669	1941	1531	1425	1029	661	291	89
110011	Jaru	51620	7617	7995	8636	8876	7196	5376	3469	1696	759
110012	Ji-Paraná	130009	18733	20415	21773	22088	18081	14516	9005	3824	1574
110013	Machadinho D'Oeste	40867	7301	6810	6993	6464	5572	3926	2444	1032	325
110120	Ministro Andreazza	9559	1547	1471	1594	1459	1327	1043	654	328	136
110130	Mirante da Serra	10818	1593	1615	1822	1616	1516	1133	872	434	217
110140	Monte Negro	16007	2638	2521	2737	2354	2224	1674	1103	553	203
110014	Nova Brasilândia D'Oeste	20489	2875	2921	3558	3184	3180	2346	1480	698	247
110033	Nova Mamoré	31392	5955	5494	5294	4866	4355	2870	1611	700	247
110143	Nova União	6895	1033	1032	1209	982	1050	800	488	221	80
110050	Novo Horizonte do Oeste	8329	1167	1079	1274	1202	1302	1131	695	346	133
110015	Ouro Preto do Oeste	35737	4982	5261	5792	5951	4930	4305	2624	1326	566
110145	Parecis	6198	1051	997	1053	1058	784	692	349	162	52
110018	Pimenta Bueno	36881	5350	5962	6397	6367	5050	3962	2370	1038	385
110146	Pimenteiras do Oeste	2148	402	320	343	317	313	240	140	57	16
110020	Porto Velho	539354	80391	89279	98492	100241	74139	52863	29476	10725	3748
110025	Presidente Médici	18571	2447	2500	2812	2913	2723	2423	1614	786	353
110147	Primavera de Rondônia	2776	376	357	461	395	410	380	228	119	50
110026	Rio Crespo	3804	604	555	588	563	569	483	266	123	53
110028	Rolim de Moura	55407	7801	8514	9596	9621	7813	6109	3639	1633	681
110029	Santa Luzia D'Oeste	6216	820	800	949	988	915	884	514	239	107
110148	São Felipe D'Oeste	5066	664	620	772	766	770	655	465	257	97
110149	São Francisco do Guaporé	20681	3596	3379	3696	3069	2816	1982	1230	699	214
110032	São Miguel do Guaporé	23077	3698	3588	4183	3689	3207	2395	1439	657	221
110150	Seringueiras	11851	1787	1822	2090	1783	1709	1307	815	381	157
110155	Teixeirópolis	4233	564	563	660	643	602	582	309	215	95
110160	Theobroma	10395	1623	1463	1634	1543	1590	1146	791	439	166
110170	Urupá	11272	1606	1579	1751	1835	1626	1317	949	451	158
110175	Vale do Anari	11377	1862	1647	1848	1715	1652	1276	829	408	140
110180	Vale do Paraíso	6656	935	899	1091	972	1019	868	522	254	96
110030	Vilhena	102211	15574	16655	18001	17815	14090	10517	6052	2580	927
120001	Acrelândia	15490	2865	2752	2970	2241	1949	1362	778	423	150
120005	Assis Brasil	7534	1673	1566	1292	1050	859	535	328	159	72
120010	Brasiléia	26702	4634	5052	4878	4107	3372	2265	1325	732	337
120013	Bujari	10420	1933	1896	1898	1451	1316	878	648	304	96
120017	Capixaba	12008	2337	2230	2362	1474	1398	1092	649	349	117
120020	Cruzeiro do Sul	89072	17745	18843	16271	13655	9994	5786	3642	2122	1014
120025	Epitaciolândia	18696	3241	3620	3443	2760	2272	1651	949	520	240
120030	Feijó	34884	8385	8094	6222	4480	3274	2226	1197	721	285
120032	Jordão	8473	2648	2145	1553	1023	634	261	129	51	29
120033	Mâncio Lima	19311	4361	3961	3459	2845	2002	1203	810	466	204
120034	Manoel Urbano	9581	2204	2012	1738	1397	1030	583	352	171	94
120035	Marechal Thaumaturgo	19299	5538	4921	3601	2310	1447	783	402	210	87
120038	Plácido de Castro	19955	3764	3759	3372	2697	2387	1943	1176	593	264
120080	Porto Acre	18824	3475	3497	3441	2506	2228	1657	1063	677	280
120039	Porto Walter	12241	3812	2958	2111	1461	976	503	250	116	54
120040	Rio Branco	413418	64683	80739	76469	68372	53047	34907	21070	9799	4332
120042	Rodrigues Alves	19351	4873	4422	3549	2565	1966	1042	531	298	105
120043	Santa Rosa do Purus	6717	1988	1612	1250	885	488	326	110	47	11
120050	Sena Madureira	46511	8963	9626	8731	7506	5218	3092	1857	1039	479
120045	Senador Guiomard	23236	4174	4395	4017	3404	2905	1966	1374	693	308
120060	Tarauacá	43151	10974	10194	7652	5457	3745	2483	1399	846	401
120070	Xapuri	19596	3577	3737	3676	2895	2291	1607	988	568	257
130002	Alvarães	16220	4603	3582	2866	2017	1441	896	462	251	102
130006	Amaturá	11736	2916	2347	2323	1708	1197	675	338	167	65
130008	Anamã	13956	3075	2666	2768	2148	1583	897	449	249	121
130010	Anori	21477	4974	4199	4247	3315	2295	1262	652	357	176
130014	Apuí	22359	3670	3572	4684	4059	2791	1914	1103	450	116
130020	Atalaia do Norte	20398	5018	4388	4167	3104	1760	1040	529	275	117
130030	Autazes	40290	9575	7640	7119	5284	4210	3207	1805	993	457
130040	Barcelos	27638	5070	5232	6110	4261	2719	2170	1348	564	164
130050	Barreirinha	32483	8892	6627	5901	3910	2889	2017	1224	655	368
