country	CO_MUNICIP	ADM2_PCODE	Populacao	DS_NOMEPAD_municip	CO_UF	state_code	CO_MACSAUD	DS_NOMEPAD_macsaud	state_name	municip_estado	region
Brazil	120080	BR1200807	18504	PORTO ACRE	12	AC	1201	MACRO UNICA - AC	Acre	Porto Acre, Acre	Norte
Brazil	120010	BR1200104	26278	BRASILEIA	12	AC	1201	MACRO UNICA - AC	Acre	Brasileia, Acre	Norte
Brazil	120013	BR1200138	10266	BUJARI	12	AC	1201	MACRO UNICA - AC	Acre	Bujari, Acre	Norte
Brazil	120017	BR1200179	11733	CAPIXABA	12	AC	1201	MACRO UNICA - AC	Acre	Capixaba, Acre	Norte
Brazil	120020	BR1200203	88376	CRUZEIRO DO SUL	12	AC	1201	MACRO UNICA - AC	Acre	Cruzeiro Do Sul, Acre	Norte
Brazil	120025	BR1200252	18411	EPITACIOLANDIA	12	AC	1201	MACRO UNICA - AC	Acre	Epitaciolandia, Acre	Norte
Brazil	120030	BR1200302	34780	FEIJO	12	AC	1201	MACRO UNICA - AC	Acre	Feijo, Acre	Norte
Brazil	120032	BR1200328	8317	JORDAO	12	AC	1201	MACRO UNICA - AC	Acre	Jordao, Acre	Norte
Brazil	120033	BR1200336	18977	MANCIO LIMA	12	AC	1201	MACRO UNICA - AC	Acre	Mancio Lima, Acre	Norte
Brazil	120034	BR1200344	9459	MANOEL URBANO	12	AC	1201	MACRO UNICA - AC	Acre	Manoel Urbano, Acre	Norte
Brazil	120038	BR1200385	19761	PLACIDO DE CASTRO	12	AC	1201	MACRO UNICA - AC	Acre	Placido De Castro, Acre	Norte
Brazil	120039	BR1200393	11982	PORTO WALTER	12	AC	1201	MACRO UNICA - AC	Acre	Porto Walter, Acre	Norte
Brazil	120040	BR1200401	407319	RIO BRANCO	12	AC	1201	MACRO UNICA - AC	Acre	Rio Branco, Acre	Norte
Brazil	120042	BR1200427	18930	RODRIGUES ALVES	12	AC	1201	MACRO UNICA - AC	Acre	Rodrigues Alves, Acre	Norte
Brazil	120043	BR1200435	6540	SANTA ROSA DO PURUS	12	AC	1201	MACRO UNICA - AC	Acre	Santa Rosa Do Purus, Acre	Norte
Brazil	120050	BR1200500	45848	SENA MADUREIRA	12	AC	1201	MACRO UNICA - AC	Acre	Sena Madureira, Acre	Norte
Brazil	120045	BR1200450	23024	SENADOR GUIOMARD	12	AC	1201	MACRO UNICA - AC	Acre	Senador Guiomard, Acre	Norte
Brazil	120060	BR1200609	42567	TARAUACA	12	AC	1201	MACRO UNICA - AC	Acre	Tarauaca, Acre	Norte
Brazil	120070	BR1200708	19323	XAPURI	12	AC	1201	MACRO UNICA - AC	Acre	Xapuri, Acre	Norte
Brazil	120000	BR1200000		MUNICIPIO IGNORADO - AC	12	AC			Acre	Municipio Ignorado - Ac, Acre	Norte
Brazil	120005	BR1200054	7417	ASSIS BRASIL	12	AC	1201	MACRO UNICA - AC	Acre	Assis Brasil, Acre	Norte
Brazil	120001	BR1200013	15256	ACRELANDIA	12	AC	1201	MACRO UNICA - AC	Acre	Acrelandia, Acre	Norte
Brazil	120035	BR1200351	18867	MARECHAL THAUMATURGO	12	AC	1201	MACRO UNICA - AC	Acre	Marechal Thaumaturgo, Acre	Norte
Brazil	270220	BR2702207	5845	COQUEIRO SECO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Coqueiro Seco, Alagoas	Nordeste
Brazil	270940	BR2709400	25733	VICOSA	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Vicosa, Alagoas	Nordeste
Brazil	270720	BR2707206	14386	POCO DAS TRINCHEIRAS	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Poco Das Trincheiras, Alagoas	Nordeste
Brazil	270730	BR2707305	27165	PORTO CALVO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Porto Calvo, Alagoas	Nordeste
Brazil	270740	BR2707404	7786	PORTO DE PEDRAS	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Porto De Pedras, Alagoas	Nordeste
Brazil	270750	BR2707503	20066	PORTO REAL DO COLEGIO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Porto Real Do Colegio, Alagoas	Nordeste
Brazil	270760	BR2707602	11294	QUEBRANGULO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Quebrangulo, Alagoas	Nordeste
Brazil	270770	BR2707701	75120	RIO LARGO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Rio Largo, Alagoas	Nordeste
Brazil	270780	BR2707800	6664	ROTEIRO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Roteiro, Alagoas	Nordeste
Brazil	270790	BR2707909	7296	SANTA LUZIA DO NORTE	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Santa Luzia Do Norte, Alagoas	Nordeste
Brazil	270800	BR2708006	47654	SANTANA DO IPANEMA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Santana Do Ipanema, Alagoas	Nordeste
Brazil	270710	BR2707107	25039	PIRANHAS	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Piranhas, Alagoas	Nordeste
Brazil	270810	BR2708105	10740	SANTANA DO MUNDAU	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Santana Do Mundau, Alagoas	Nordeste
Brazil	270830	BR2708303	23927	SAO JOSE DA LAJE	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Sao Jose Da Laje, Alagoas	Nordeste
Brazil	270840	BR2708402	32260	SAO JOSE DA TAPERA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Sao Jose Da Tapera, Alagoas	Nordeste
Brazil	270850	BR2708501	34555	SAO LUIS DO QUITUNDE	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Sao Luis Do Quitunde, Alagoas	Nordeste
Brazil	270860	BR2708600	61251	SAO MIGUEL DOS CAMPOS	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Sao Miguel Dos Campos, Alagoas	Nordeste
Brazil	270870	BR2708709	7951	SAO MIGUEL DOS MILAGRES	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Sao Miguel Dos Milagres, Alagoas	Nordeste
Brazil	270880	BR2708808	34152	SAO SEBASTIAO	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Sao Sebastiao, Alagoas	Nordeste
Brazil	270890	BR2708907	13828	SATUBA	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Satuba, Alagoas	Nordeste
Brazil	270895	BR2708956	13870	SENADOR RUI PALMEIRA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Senador Rui Palmeira, Alagoas	Nordeste
Brazil	270900	BR2709004	6162	TANQUE D'ARCA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Tanque D'arca, Alagoas	Nordeste
Brazil	270910	BR2709103	19980	TAQUARANA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Taquarana, Alagoas	Nordeste
Brazil	270820	BR2708204	6961	SAO BRAS	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Sao Bras, Alagoas	Nordeste
Brazil	270915	BR2709152	44169	TEOTONIO VILELA	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Teotonio Vilela, Alagoas	Nordeste
Brazil	270700	BR2707008	2908	PINDOBA	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Pindoba, Alagoas	Nordeste
Brazil	270680	BR2706802	17827	PIACABUCU	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Piacabucu, Alagoas	Nordeste
Brazil	270500	BR2705002	25216	MATA GRANDE	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Mata Grande, Alagoas	Nordeste
Brazil	270510	BR2705101	24642	MATRIZ DE CAMARAGIBE	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Matriz De Camaragibe, Alagoas	Nordeste
Brazil	270520	BR2705200	17856	MESSIAS	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Messias, Alagoas	Nordeste
Brazil	270530	BR2705309	5329	MINADOR DO NEGRAO	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Minador Do Negrao, Alagoas	Nordeste
Brazil	270540	BR2705408	7159	MONTEIROPOLIS	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Monteiropolis, Alagoas	Nordeste
Brazil	270550	BR2705507	28236	MURICI	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Murici, Alagoas	Nordeste
Brazil	270560	BR2705606	12690	NOVO LINO	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Novo Lino, Alagoas	Nordeste
Brazil	270000	BR2700000		MUNICIPIO IGNORADO - AL	27	AL			Alagoas	Municipio Ignorado - Al, Alagoas	Nordeste
Brazil	270570	BR2705705	21688	OLHO D'AGUA DAS FLORES	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Olho D'agua Das Flores, Alagoas	Nordeste
Brazil	270010	BR2700102	20196	AGUA BRANCA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Agua Branca, Alagoas	Nordeste
Brazil	270690	BR2706901	35111	PILAR	27	AL	2704	1ª MACRORREGIAO DE SAUDE	Alagoas	Pilar, Alagoas	Nordeste
Brazil	270580	BR2705804	9373	OLHO D'AGUA DO CASADO	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Olho D'agua Do Casado, Alagoas	Nordeste
Brazil	270600	BR2706000	11624	OLIVENCA	27	AL	2703	2ª MACRORREGIAO DE SAUDE	Alagoas	Olivenca, Alagoas	Nordeste
