field	value	colour
DS_UF_SIGLA	AC	#307E34
DS_UF_SIGLA	AM	#3B7E30
DS_UF_SIGLA	AP	#4B7E30
DS_UF_SIGLA	BA	#5B7E30
DS_UF_SIGLA	CE	#6A7E30
DS_UF_SIGLA	DF	#7A7E30
DS_UF_SIGLA	ES	#7E7130
DS_UF_SIGLA	GO	#7E6130
DS_UF_SIGLA	MA	#7E5130
DS_UF_SIGLA	MG	#7E4230
DS_UF_SIGLA	MS	#7E3230
DS_UF_SIGLA	MT	#7E303D
DS_UF_SIGLA	PA	#7E304C
DS_UF_SIGLA	PB	#7E305C
DS_UF_SIGLA	PE	#7E306C
DS_UF_SIGLA	PI	#7E307C
DS_UF_SIGLA	PR	#6F307E
DS_UF_SIGLA	RJ	#60307E
DS_UF_SIGLA	RN	#50307E
DS_UF_SIGLA	RO	#40307E
DS_UF_SIGLA	RS	#30307E
DS_UF_SIGLA	SC	#303E7E
DS_UF_SIGLA	SE	#304E7E
DS_UF_SIGLA	SP	#305E7E
DS_UF_SIGLA	TO	#306E7E
test_result	Positive	#F26F61
test_result	Negative	#577DBD
S_detection	Not detected	#1F7A2E
S_detection	Detected	#CECECE
sex	F	#ffa3ce
sex	M	#a3c9ff
